period,view,band,n,share_of_events,mean_predicted,expected_wins,actual_wins,actual_rate,difference_pp,wilson95_low,wilson95_high
all,all_events,65-69.9%,2123,0.12000452207337065,0.6809448642970134,1445.6459469025594,1464,0.6895902025435704,0.8645338246557,0.6695820583448288,0.7089134786221637
all,all_events,70-74.9%,4728,0.2672545362048499,0.7230929070977022,3418.783264757936,3420,0.7233502538071066,0.025734670940436022,0.7104216841244441,0.7359161778643574
all,all_events,75-79.9%,2249,0.12712678763212934,0.7720424592585041,1736.3234908723757,1729,0.7687861271676301,-0.3256332090874059,0.7509120234043578,0.7857435833478728
all,all_events,80-84.9%,1345,0.07602735854389238,0.823518645883453,1107.6325787132444,1107,0.8230483271375465,-0.047031874590652833,0.8017414357542282,0.8425151552018176
all,all_events,85-89.9%,746,0.04216833418122209,0.8727450998955847,651.0678445221062,663,0.8887399463806971,1.5994846485112402,0.8641533413599158,0.9093435001086652
all,all_events,90-94.9%,443,0.025040981289921427,0.9214483423541716,408.201615662898,419,0.945823927765237,2.4375585411065437,0.9206556944397466,0.9633267387088822
all,all_events,95%+,71,0.0040133401164433894,0.9583935297508359,68.04594061230935,70,0.9859154929577465,2.7521963206910582,0.92443949479751,0.9975093967294558
all,best_selection,50-54.9%,0,0.0,,0.0,0,,,,
all,best_selection,55-59.9%,0,0.0,,0.0,0,,,,
all,best_selection,60-64.9%,0,0.0,,0.0,0,,,,
all,best_selection,65-69.9%,417,0.07071392233338986,0.6925681670988183,288.80092568020723,313,0.750599520383693,5.803135328487475,0.7069115410334522,0.7897125334711644
all,best_selection,70-74.9%,2413,0.4091911141258267,0.7230217636278579,1744.651515634021,1749,0.724823870700373,0.18021070725151578,0.7066577880347161,0.7422752588724771
all,best_selection,75-79.9%,1212,0.20552823469560794,0.7731846663423136,937.0998156068841,938,0.7739273927392739,0.07427263969602693,0.7495343116112697,0.7965895231887435
all,best_selection,80-84.9%,888,0.1505850432423266,0.8232018811487949,731.0032704601299,728,0.8198198198198198,-0.33820613289751167,0.7931804850195089,0.8437040132085524
all,best_selection,85-89.9%,508,0.08614549771070036,0.8729296148613984,443.44824434959037,451,0.8877952755905512,1.486566072915274,0.8573875804028122,0.9123820293271103
