period,view,threshold,n,share_of_events,mean_predicted,expected_wins,actual_wins,actual_rate,difference_pp,wilson95_low,wilson95_high,share_of_matches,wilson995
validation,best_selection,0.85,342,0.18152866242038215,0.9006943838157998,308.0374792650035,315,0.9210526315789473,2.035824776314754,0.8875737336949877,0.9451777848247084,0.18152866242038215,"[0.8700073726075762, 0.9531333102849079]"
validation,best_selection,0.9,174,0.09235668789808917,0.9271017710091572,161.31570815559337,165,0.9482758620689655,2.1174091059808275,0.9046335664523455,0.9725522204528585,0.09235668789808917,"[0.8788349628529037, 0.9788760638626317]"
validation,best_selection,0.95,27,0.014331210191082803,0.9589056191482828,25.890451717003636,27,1.0,4.109438085171724,0.8754449702581328,0.9999999999999998,0.014331210191082803,"[0.7740950285276794, 1.0]"
confirmation_2025_26,all_events,0.6,1188,0.7388059701492538,0.7335861031082467,871.5002904925971,862,0.7255892255892256,-0.7996877519021117,0.6995187939838656,0.7502054508249718,2.216417910447761,"[0.6878522489689041, 0.7603534670169529]"
confirmation_2025_26,all_events,0.65,1053,0.6548507462686567,0.7475837913409783,787.2057322820501,781,0.741690408357075,-0.5893382983903295,0.7144081698429721,0.7672156307297096,1.9645522388059702,"[0.7021304893570456, 0.7776601272684619]"
confirmation_2025_26,all_events,0.7,877,0.5453980099502488,0.7611351162096431,667.515496915857,665,0.758266818700114,-0.2868297509529105,0.7288446368855316,0.7854363332750857,1.6361940298507462,"[0.7155013563882566, 0.7964327899500012]"
confirmation_2025_26,all_events,0.75,399,0.24813432835820895,0.8044709693319129,320.98391676343323,317,0.7944862155388471,-0.9984753793065737,0.7521193496988514,0.8312366948551406,0.7444029850746269,"[0.7322635443941039, 0.8453031196331948]"
confirmation_2025_26,all_events,0.8,168,0.1044776119402985,0.8487671253609308,142.59287706063637,146,0.8690476190476191,2.0280493686688272,0.8096888872222077,0.9119064766147946,0.31343283582089554,"[0.7792216906438225, 0.9258067140606818]"
confirmation_2025_26,all_events,0.85,71,0.04415422885572139,0.8841367555238813,62.77370964219557,67,0.9436619718309859,5.952521630710461,0.8639039420002305,0.9778754806983033,0.13246268656716417,"[0.8140512341206583, 0.9846359920669701]"
confirmation_2025_26,all_events,0.9,16,0.009950248756218905,0.9259358927357562,14.814974283772099,15,0.9375,1.156410726424384,0.7167126242970107,0.9888806552353576,0.029850746268656716,"[0.5927045229479042, 0.9935739171870221]"
confirmation_2025_26,all_events,0.95,1,0.0006218905472636816,0.9570941953370835,0.9570941953370835,1,1.0,4.290580466291649,0.20654931437723745,1.0,0.0018656716417910447,"[0.11261973280977161, 1.0]"
