period,estimator,band,n,share_of_events,mean_predicted,expected_wins,actual_wins,actual_rate,difference_pp,wilson95_low,wilson95_high
SEALED_HOLDOUT_2024_2025,market_odds_ratio,75-79.9%,444,0.08764311093564943,0.7743082317006458,343.79285487508673,340,0.7657657657657657,-0.8542465934880061,0.7241952600569032,0.8027769426093291
SEALED_HOLDOUT_2024_2025,market_odds_ratio,80-84.9%,404,0.07974733517568101,0.8233470690645455,332.6322159020764,334,0.8267326732673267,0.3385604202781223,0.7867945916633439,0.8605157645799297
SEALED_HOLDOUT_2024_2025,market_odds_ratio,85-89.9%,266,0.05250690880378997,0.8737583700307784,232.41972642818706,232,0.8721804511278195,-0.15779189029588858,0.8266934845991935,0.9070707074020371
SEALED_HOLDOUT_2024_2025,market_odds_ratio,90-94.9%,211,0.0416502171338334,0.9241342169181143,194.99231976972212,194,0.919431279620853,-0.4702937297261234,0.8747728121147671,0.9490905193464267
SEALED_HOLDOUT_2024_2025,market_odds_ratio,95%+,123,0.02427951046190288,0.9687216815435128,119.15276682985207,118,0.959349593495935,-0.9372088047577831,0.9083622660666856,0.9825136435185179
SEALED_HOLDOUT_2024_2025,market_shin,50-54.9%,700,0.1381760757994473,0.5259278566279459,368.1494996395621,382,0.5457142857142857,1.9786429086339763,0.5086800297870259,0.5822495385098371
SEALED_HOLDOUT_2024_2025,market_shin,55-59.9%,870,0.17173312277931307,0.5755671390759584,500.74341099608375,494,0.5678160919540229,-0.7751047121935417,0.5346715665623436,0.6003643702301824
SEALED_HOLDOUT_2024_2025,market_shin,60-64.9%,818,0.16146861429135412,0.624325599909932,510.6983407263244,494,0.6039119804400978,-2.041361946983422,0.5699850199812668,0.6368675282510192
SEALED_HOLDOUT_2024_2025,market_shin,65-69.9%,645,0.12731938412949073,0.6735963642610339,434.46965494836684,456,0.7069767441860465,3.3380379925012638,0.6707085972635344,0.7407940839697017
SEALED_HOLDOUT_2024_2025,market_shin,70-74.9%,585,0.1154757204895381,0.7248569843747616,424.0413358592356,413,0.705982905982906,-1.887407839185562,0.6678159123965672,0.7414623345574844
SEALED_HOLDOUT_2024_2025,market_shin,75-79.9%,443,0.08744571654165022,0.7746475468111289,343.16886323733013,339,0.7652370203160271,-0.9410526495101768,0.7235914637150267,0.8023221357531449
SEALED_HOLDOUT_2024_2025,market_shin,80-84.9%,406,0.08014212396367944,0.82376739333121,334.44956169247126,336,0.8275862068965517,0.381881356534175,0.7878163992726935,0.8612150597832219
SEALED_HOLDOUT_2024_2025,market_shin,85-89.9%,265,0.052309514409790765,0.8745047380858064,231.7437555927387,231,0.8716981132075472,-0.2806624878259223,0.826059648073031,0.9067142360747659
