match_id,status,market_id
WTA-2021-07211,MATCHED,1.180275609
WTA-2021-07212,MATCHED,1.180275988
WTA-2021-07213,MATCHED,1.180200246
WTA-2021-07214,MATCHED,1.180277777
WTA-2021-07215,MATCHED,1.180277536
WTA-2021-07216,MATCHED,1.180199114
WTA-2021-07217,MATCHED,1.180276115
WTA-2021-07218,MATCHED,1.180199693
WTA-2021-07219,MATCHED,1.180305634
WTA-2021-07220,MATCHED,1.180310680
WTA-2021-07221,MATCHED,1.180275615
WTA-2021-07222,MATCHED,1.180323219
WTA-2021-07223,MATCHED,1.180273177
WTA-2021-07224,MATCHED,1.180323046
WTA-2021-07225,UNMATCHED,
WTA-2021-07226,MATCHED,1.180333841
WTA-2021-07227,MATCHED,1.180326457
WTA-2021-07228,MATCHED,1.180310957
WTA-2021-07229,MATCHED,1.180315482
WTA-2021-07230,MATCHED,1.180324863
WTA-2021-07231,MATCHED,1.180280480
WTA-2021-07232,MATCHED,1.180305698
WTA-2021-07233,MATCHED,1.180262603
WTA-2021-07234,MATCHED,1.180318353
WTA-2021-07235,MATCHED,1.180356553
WTA-2021-07236,MATCHED,1.180359989
WTA-2021-07237,MATCHED,1.180363066
WTA-2021-07238,UNMATCHED,
WTA-2021-07239,MATCHED,1.180363265
WTA-2021-07240,MATCHED,1.180370864
WTA-2021-07241,AMBIGUOUS,
WTA-2021-07242,MATCHED,1.180376135
WTA-2021-07243,MATCHED,1.180405349
WTA-2021-07244,MATCHED,1.180406166
WTA-2021-07245,AMBIGUOUS,
WTA-2021-07246,UNMATCHED,
WTA-2021-07247,MATCHED,1.180452903
WTA-2021-07248,MATCHED,1.180446736
WTA-2021-07249,MATCHED,1.180500118
WTA-2021-07250,UNMATCHED,
WTA-2021-07251,AMBIGUOUS,
WTA-2021-07252,UNMATCHED,
WTA-2021-07253,MATCHED,1.180252682
WTA-2021-07254,MATCHED,1.180291757
WTA-2021-07255,MATCHED,1.180292020
WTA-2021-07256,UNMATCHED,
WTA-2021-07257,MATCHED,1.180291515
WTA-2021-07258,MATCHED,1.180291893
WTA-2021-07259,MATCHED,1.180252283
WTA-2021-07260,UNMATCHED,
WTA-2021-07261,MATCHED,1.180253602
WTA-2021-07262,MATCHED,1.180292108
WTA-2021-07263,MATCHED,1.180254239
WTA-2021-07264,MATCHED,1.180254112
WTA-2021-07265,MATCHED,1.180252194
WTA-2021-07266,UNMATCHED,
WTA-2021-07267,MATCHED,1.180394183
WTA-2021-07268,UNMATCHED,
WTA-2021-07269,MATCHED,1.180394779
WTA-2021-07270,MATCHED,1.180394188
WTA-2021-07271,MATCHED,1.180339002
WTA-2021-07272,MATCHED,1.180350344
WTA-2021-07273,MATCHED,1.180386765
WTA-2021-07274,MATCHED,1.180425631
WTA-2021-07275,UNMATCHED,
WTA-2021-07276,UNMATCHED,
WTA-2021-07277,MATCHED,1.180425504
WTA-2021-07278,MATCHED,1.180464963
WTA-2021-07279,MATCHED,1.180465090
WTA-2021-07280,MATCHED,1.180520966
WTA-2021-07281,MATCHED,1.180569183
WTA-2021-07282,MATCHED,1.180608989
WTA-2021-07283,UNMATCHED,
WTA-2021-07284,MATCHED,1.180671478
WTA-2021-07285,MATCHED,1.180602841
WTA-2021-07286,UNMATCHED,
WTA-2021-07287,MATCHED,1.180609172
WTA-2021-07288,MATCHED,1.180609521
WTA-2021-07289,MATCHED,1.180568801
WTA-2021-07290,MATCHED,1.180569504
WTA-2021-07291,MATCHED,1.180569073
WTA-2021-07292,MATCHED,1.180568745
WTA-2021-07293,MATCHED,1.180608886
WTA-2021-07294,MATCHED,1.180567477
WTA-2021-07295,UNMATCHED,
WTA-2021-07296,MATCHED,1.180609214
WTA-2021-07297,MATCHED,1.180590778
WTA-2021-07298,MATCHED,1.180605616
WTA-2021-07299,MATCHED,1.180603055
WTA-2021-07300,MATCHED,1.180603476
WTA-2021-07301,UNMATCHED,
WTA-2021-07302,MATCHED,1.180591092
WTA-2021-07303,UNMATCHED,
WTA-2021-07304,MATCHED,1.180591122
WTA-2021-07305,AMBIGUOUS,
WTA-2021-07306,MATCHED,1.180590772
WTA-2021-07307,MATCHED,1.180603267
WTA-2021-07308,MATCHED,1.180603597
WTA-2021-07309,MATCHED,1.180678317
WTA-2021-07310,MATCHED,1.180736609
WTA-2021-07311,UNMATCHED,
WTA-2021-07312,MATCHED,1.180726075
WTA-2021-07313,MATCHED,1.180738726
WTA-2021-07314,UNMATCHED,
WTA-2021-07315,MATCHED,1.180733814
WTA-2021-07316,MATCHED,1.180758703
WTA-2021-07317,MATCHED,1.180702267
WTA-2021-07318,MATCHED,1.180725696
WTA-2021-07319,UNMATCHED,
WTA-2021-07320,MATCHED,1.180716694
WTA-2021-07321,MATCHED,1.180703598
WTA-2021-07322,MATCHED,1.180658600
WTA-2021-07323,MATCHED,1.180694930
WTA-2021-07324,MATCHED,1.180802950
WTA-2021-07325,UNMATCHED,
WTA-2021-07326,UNMATCHED,
WTA-2021-07327,MATCHED,1.180807060
WTA-2021-07328,MATCHED,1.180799852
WTA-2021-07329,MATCHED,1.180787523
WTA-2021-07330,UNMATCHED,
WTA-2021-07331,MATCHED,1.180795923
WTA-2021-07332,MATCHED,1.180857592
WTA-2021-07333,MATCHED,1.180852421
WTA-2021-07334,MATCHED,1.180843340
WTA-2021-07335,MATCHED,1.180831938
WTA-2021-07336,MATCHED,1.180918364
WTA-2021-07337,MATCHED,1.180887525
WTA-2021-07338,MATCHED,1.180949049
WTA-2021-07339,MATCHED,1.180949403
WTA-2021-07340,MATCHED,1.180949938
WTA-2021-07341,MATCHED,1.181041218
WTA-2021-07342,MATCHED,1.180948469
WTA-2021-07343,MATCHED,1.180948160
WTA-2021-07344,MATCHED,1.180948553
WTA-2021-07345,MATCHED,1.180950071
WTA-2021-07346,MATCHED,1.181041393
WTA-2021-07347,MATCHED,1.180949223
WTA-2021-07348,MATCHED,1.180949176
WTA-2021-07349,MATCHED,1.180948033
WTA-2021-07350,MATCHED,1.180948902
WTA-2021-07351,MATCHED,1.181040957
WTA-2021-07352,MATCHED,1.180949771
WTA-2021-07353,MATCHED,1.181042043
WTA-2021-07354,MATCHED,1.180950065
WTA-2021-07355,MATCHED,1.180949419
WTA-2021-07356,MATCHED,1.181041716
WTA-2021-07357,MATCHED,1.180948303
WTA-2021-07358,MATCHED,1.181040954
WTA-2021-07359,MATCHED,1.181041130
WTA-2021-07360,MATCHED,1.180948289
WTA-2021-07361,MATCHED,1.180947652
WTA-2021-07362,MATCHED,1.180947740
WTA-2021-07363,MATCHED,1.181041775
WTA-2021-07364,MATCHED,1.180948287
WTA-2021-07365,UNMATCHED,
WTA-2021-07366,MATCHED,1.181042069
WTA-2021-07367,MATCHED,1.181041550
WTA-2021-07368,MATCHED,1.180947863
WTA-2021-07369,MATCHED,1.180949640
WTA-2021-07370,MATCHED,1.181086206
WTA-2021-07371,MATCHED,1.181080629
WTA-2021-07372,UNMATCHED,
WTA-2021-07373,AMBIGUOUS,
WTA-2021-07374,MATCHED,1.181080969
WTA-2021-07375,MATCHED,1.181085946
WTA-2021-07376,MATCHED,1.181085762
WTA-2021-07377,MATCHED,1.181086834
WTA-2021-07378,MATCHED,1.181049219
WTA-2021-07379,MATCHED,1.181086029
WTA-2021-07380,MATCHED,1.181048949
WTA-2021-07381,MATCHED,1.181051494
WTA-2021-07382,MATCHED,1.181051525
WTA-2021-07383,MATCHED,1.181086964
WTA-2021-07384,MATCHED,1.181049545
WTA-2021-07385,MATCHED,1.181049363
