market,period,method,band,n,share_of_events,mean_predicted,expected_wins,actual_wins,actual_rate,difference_pp,wilson95_low,wilson95_high
football_1x2::primary_closing_B365_BW_PS,validation,shin,75-79.9%,79,0.04193205944798301,0.7744414480281675,61.180874394225235,62,0.7848101265822784,1.0368678554110944,0.682128319163289,0.8610779526794132
football_1x2::primary_closing_B365_BW_PS,validation,shin,80-84.9%,55,0.029193205944798302,0.8207593743791268,45.141765590851975,45,0.8181818181818182,-0.2577556197308595,0.6966954036336236,0.8981232956555033
football_1x2::primary_closing_B365_BW_PS,validation,shin,85-89.9%,27,0.014331210191082803,0.872193086065104,23.549213323757808,27,1.0,12.780691393489596,0.8754449702581328,0.9999999999999998
football_1x2::primary_closing_B365_BW_PS,validation,shin,90-94.9%,11,0.00583864118895966,0.9108441071118453,10.019285178230298,11,1.0,8.915589288815474,0.7411670330319684,1.0
football_1x2::primary_closing_B365_BW_PS,validation,shin,95%+,0,0.0,,0.0,0,,,,
football_1x2::primary_closing_B365_BW_PS,confirmation_2025_26,multiplicative,50-54.9%,75,0.13992537313432835,0.5226273917497377,39.19705438123033,32,0.4266666666666667,-9.596072508307103,0.3210074201902476,0.5394720767072307
football_1x2::primary_closing_B365_BW_PS,confirmation_2025_26,multiplicative,55-59.9%,51,0.09514925373134328,0.5742372394766491,29.286099213309104,26,0.5098039215686274,-6.443331790802165,0.37680923894569696,0.6414251410562926
football_1x2::primary_closing_B365_BW_PS,confirmation_2025_26,multiplicative,60-64.9%,39,0.07276119402985075,0.6256084779343788,24.39873063944077,23,0.5897435897435898,-3.5864888190789035,0.43418622882896973,0.7292068999927483
football_1x2::primary_closing_B365_BW_PS,confirmation_2025_26,multiplicative,65-69.9%,19,0.03544776119402985,0.6729069408902291,12.785231876914352,11,0.5789473684210527,-9.395957246917641,0.3627590353425504,0.7685810871754576
football_1x2::primary_closing_B365_BW_PS,confirmation_2025_26,multiplicative,70-74.9%,12,0.022388059701492536,0.7191927287830624,8.630312745396749,11,0.9166666666666666,19.747393788360423,0.646120088858883,0.9851349055950829
football_1x2::primary_closing_B365_BW_PS,confirmation_2025_26,multiplicative,75-79.9%,10,0.018656716417910446,0.7792928367371361,7.792928367371362,9,0.9,12.07071632628639,0.5958499732047615,0.9821237869049271
football_1x2::primary_closing_B365_BW_PS,confirmation_2025_26,multiplicative,80-84.9%,4,0.007462686567164179,0.8202637841611252,3.281055136644501,3,0.75,-7.026378416112522,0.30064184258240184,0.9544127391902995
football_1x2::primary_closing_B365_BW_PS,confirmation_2025_26,multiplicative,85-89.9%,1,0.0018656716417910447,0.854668470997898,0.854668470997898,1,1.0,14.533152900210201,0.20654931437723745,1.0
football_1x2::primary_closing_B365_BW_PS,confirmation_2025_26,multiplicative,90-94.9%,0,0.0,,0.0,0,,,,
football_1x2::primary_closing_B365_BW_PS,confirmation_2025_26,multiplicative,95%+,0,0.0,,0.0,0,,,,
football_1x2::primary_closing_B365_BW_PS,confirmation_2025_26,additive,50-54.9%,73,0.13619402985074627,0.5254076457530547,38.35475813997299,29,0.3972602739726027,-12.814737178045194,0.29286701857646835,0.5119258597705996
football_1x2::primary_closing_B365_BW_PS,confirmation_2025_26,additive,55-59.9%,51,0.09514925373134328,0.5748680291274848,29.318269485501727,25,0.49019607843137253,-8.467195069611227,0.35857485894370744,0.623190761054303
football_1x2::primary_closing_B365_BW_PS,confirmation_2025_26,additive,60-64.9%,40,0.07462686567164178,0.6262427012333035,25.04970804933214,24,0.6,-2.6242701233303523,0.44595893660346186,0.7365167431570808
football_1x2::primary_closing_B365_BW_PS,confirmation_2025_26,additive,65-69.9%,25,0.04664179104477612,0.6721680975096781,16.804202437741953,14,0.56,-11.216809750967805,0.3706733186979878,0.7333436111893266
football_1x2::primary_closing_B365_BW_PS,confirmation_2025_26,additive,70-74.9%,15,0.027985074626865673,0.726942989525876,10.90414484288814,12,0.8,7.305701047412406,0.5481455128483065,0.9295245065301844
football_1x2::primary_closing_B365_BW_PS,confirmation_2025_26,additive,75-79.9%,7,0.013059701492537313,0.7810894970699628,5.46762647948974,7,1.0,21.891050293003723,0.6456695649333126,1.0
football_1x2::primary_closing_B365_BW_PS,confirmation_2025_26,additive,80-84.9%,7,0.013059701492537313,0.8192147323494483,5.734503126446138,6,0.8571428571428571,3.792812479340879,0.4868721707256811,0.9743203756552565
football_1x2::primary_closing_B365_BW_PS,confirmation_2025_26,additive,85-89.9%,3,0.005597014925373134,0.867763864052535,2.603291592157605,2,0.6666666666666666,-20.10971973858684,0.2076596008020477,0.9385080552796037
football_1x2::primary_closing_B365_BW_PS,confirmation_2025_26,additive,90-94.9%,0,0.0,,0.0,0,,,,
football_1x2::primary_closing_B365_BW_PS,confirmation_2025_26,additive,95%+,0,0.0,,0.0,0,,,,
